DateTime,Entries,UniqueIPs
1575372647,4329,4329
1575376837,4251,4251
1575382236,4146,4146
1575387635,4091,4091
1575390634,4089,4089
1575394235,4027,4027
1575397834,4009,4009
1575404433,3974,3974
1575408635,3961,3961
1575415234,3987,3987
1575419434,4032,4032
1575423033,4025,4025
1575426635,4033,4033
1575430233,4014,4014
1575433836,3994,3994
1575437433,3992,3992
1575448233,4044,4044
1575451835,4075,4075
1575456035,4126,4126
1575461435,4120,4120
1575464433,4091,4091
1575468036,4089,4089
1575471634,4110,4110
1575478834,4043,4043
1575482435,4036,4036
1575489633,4052,4052
1575493234,4079,4079
1575496233,4104,4104
1575503433,4121,4121
1575507035,4214,4214
1575511836,4201,4201
1575517234,4181,4181
1575522635,4150,4150
1575531035,4158,4158
1575534635,4236,4236
1575539435,4270,4270
1575545443,4286,4286
1575549636,4266,4266
1575554436,4251,4251
1575558033,4269,4269
1575565234,4216,4216
1575569436,4226,4226
1575574235,4256,4256
1575585034,4260,4260
1575588636,4288,4288
1575592835,4325,4325
1575596433,4336,4336
1575600636,4335,4335
1575605436,4265,4265
1575610234,4229,4229
1575617434,4216,4216
1575621635,4167,4167
1575627634,4178,4178
1575635433,4130,4130
1575639034,4097,4097
1575642634,4033,4033
1575648634,3906,3906
1575653434,3900,3900
1575657033,3912,3912
1575660634,3893,3893
1575664240,3879,3879
1575671434,3881,3881
1575674433,3894,3894
1575681633,3940,3940
1575686434,3938,3938
1575691234,3894,3894
1575694834,3853,3853
1575698433,3886,3886
1575702033,3869,3869
1575705634,3839,3839
1575709233,3869,3869
1575712834,3944,3944
1575716433,3988,3988
1575720034,4010,4010
1575727835,3946,3946
1575732634,3891,3891
1575735632,3939,3939
1575739834,3980,3980
1575747033,3969,3969
1575750635,3914,3914
1575754233,3911,3911
1575757834,3917,3917
1575761433,3931,3931
1575765034,3952,3952
1575768633,3982,3982
1575772834,3997,3997
1575777635,3954,3954
1575784835,4003,4003
1575789035,3964,3964
1575794435,3953,3953
1575799834,3948,3948
1575804640,4029,4029
1575808835,4073,4073
1575812433,4060,4060
1575818435,4035,4035
1575822636,4054,4054
1575826834,4025,4025
1575830433,4000,4000
1575835234,3994,3994
1575838834,4042,4042
1575843035,4084,4084
1575847835,4076,4076
1575851433,4061,4061
1575855034,4056,4056
1575858634,4074,4074
1575865835,4071,4071
1575869433,4076,4076
1575876635,4051,4051
1575880233,3984,3984
1575883835,4037,4037
1575891038,4062,4062
1575894634,4070,4070
1575898233,4088,4088
1575901834,4081,4081
1575905433,4071,4071
1575910235,4035,4035
1575914435,4013,4013
1575918034,4043,4043
1575925234,4102,4102
1575928835,4135,4135
1575933035,4145,4145
1575941436,4125,4125
1575945639,4125,4125
1575951035,4136,4136
1575956436,4237,4237
1575962436,4270,4270
1575967236,4276,4276
1575970835,4358,4358
1575977448,4382,4382
1575981636,4388,4388
1575987035,4403,4403
1575992436,4457,4457
1575997237,4530,4530
1576001436,4543,4543
1576007436,4468,4468
1576012237,4545,4545
1576017637,4558,4558
1576021235,4548,4548
1576026637,4606,4606
1576032637,4533,4533
1576042836,4526,4526
1576054238,4607,4607
1576059638,4535,4535
1576065035,4446,4446
1576069839,4374,4374
1576075236,4295,4295
1576085436,4121,4121
1576089033,4098,4098
1576093835,4078,4078
1576098634,4026,4026
1576102233,3929,3929
1576105237,3887,3887
1576112432,3748,3748
1576117234,3664,3664
1576126833,3513,3513
1576130432,3532,3532
1576134035,3567,3567
1576146633,3612,3612
1576150242,3585,3585
1576153832,3580,3580
1576157435,3600,3600
1576161031,3569,3569
1576168232,3581,3581
1576171834,3577,3577
1576174832,3635,3635
1576182032,3687,3687
1576185633,3681,3681
1576193434,3699,3699
1576197633,3729,3729
1576202433,3766,3766
1576209633,3816,3816
1576213234,3842,3842
1576217434,3877,3877
1576222235,3931,3931
1576226435,4024,4024
1576230033,4109,4109
1576233636,4158,4158
1576236638,4209,4209
1576240235,4276,4276
1576243834,4363,4363
1576247436,4403,4403
1576252235,4379,4379
1576256437,4373,4373
1576260035,4395,4395
1576263637,4417,4417
1576267235,4394,4394
1576274434,4387,4387
1576278036,4426,4426
1576281637,4446,4446
1576288835,4387,4387
1576296036,4308,4308
1576300235,4325,4325
1576305637,4342,4342
1576311036,4334,4334
1576316435,4375,4375
1576320035,4366,4366
1576323042,4356,4356
1576330235,4340,4340
1576333835,4343,4343
1576337439,4335,4335
1576341048,4301,4301
1576344633,4295,4295
1576348235,4263,4263
1576352435,4212,4212
1576357236,4204,4204
1576364435,4258,4258
1576367435,4245,4245
1576371636,4278,4278
1576375242,4231,4231
1576378233,4212,4212
1576381235,4231,4231
1576385436,4269,4269
1576393836,4210,4210
1576398648,4268,4268
1576405835,4283,4283
1576412438,4289,4289
1576416034,4298,4298
1576419635,4317,4317
1576423234,4296,4296
1576426836,4279,4279
1576431036,4275,4275
1576437636,4228,4228
1576445439,4214,4214
1576449037,4193,4193
1576452034,4196,4196
1576456243,4220,4220
1576459833,4258,4258
1576463437,4247,4247
1576467637,4260,4260
1576473046,4231,4231
1576476036,4172,4172
1576479635,4165,4165
1576486834,4262,4262
1576491035,4270,4270
1576497036,4203,4203
1576501835,4188,4188
1576506636,4193,4193
1576510233,4188,4188
1576513835,4140,4140
1576516834,4145,4145
1576520435,4191,4191
1576525836,4172,4172
1576533035,4204,4204
1576537236,4188,4188
1576541436,4166,4166
1576546838,4146,4146
1576550435,4110,4110
1576555835,4107,4107
1576558835,4127,4127
1576562436,4137,4137
1576566636,4107,4107
1576570836,4139,4139
1576575036,4144,4144
1576578635,4094,4094
1576582246,4103,4103
1576585835,4155,4155
1576590036,4179,4179
1576595436,4116,4116
1576600836,4118,4118
1576606236,4144,4144
1576609833,4124,4124
1576614041,4149,4149
1576618836,4212,4212
1576623637,4232,4232
1576627236,4247,4247
1576631436,4281,4281
1576637437,4286,4286
1576642838,4231,4231
1576647636,4250,4250
1576652436,4282,4282
1576656034,4265,4265
1576659636,4256,4256
1576663236,4277,4277
1576670434,4185,4185
1576675835,4104,4104
1576679434,4011,4011
1576683035,3988,3988
1576686635,3999,3999
1576690252,3991,3991
1576696833,3970,3970
1576704034,3944,3944
1576711834,3932,3932
1576715435,3921,3921
1576719033,3893,3893
1576722636,3875,3875
1576726233,3920,3920
1576729835,3981,3981
1576732833,4031,4031
1576737036,4118,4118
1576742436,4100,4100
1576746635,4095,4095
1576752035,4104,4104
1576755043,4124,4124
1576758636,4137,4137
1576762233,4105,4105
1576765834,4049,4049
1576770034,3947,3947
1576774236,4022,4022
1576782034,4030,4030
1576785636,4046,4046
1576789234,4044,4044
1576792837,4050,4050
1576796437,4020,4020
1576800037,4033,4033
1576803634,4037,4037
1576806636,4025,4025
1576810835,4011,4011
1576814435,4004,4004
1576818035,3997,3997
1576821634,4011,4011
1576833036,4023,4023
1576836034,4008,4008
1576839638,4006,4006
1576843234,3994,3994
1576850433,3982,3982
1576854037,3934,3934
1576857634,3872,3872
1576861235,3894,3894
1576864836,3899,3899
1576868438,3888,3888
1576879234,3880,3880
1576882835,3863,3863
1576887035,3824,3824
1576891834,3837,3837
1576899033,3839,3839
1576902634,3807,3807
1576905633,3854,3854
1576926034,3848,3848
