DateTime,AddedIPs,RemovedIPs
1566901699,212,0
1566909151,294,0
1566919939,218,0
1566937488,490,0
1566955235,276,617
1566961975,259,0
1566989794,281,358
1567007321,202,0
1567015718,276,322
1567019788,311,0
1567021986,290,0
1567025793,216,0
1567031075,235,0
1567038764,205,0
1567042593,184,0
1567046443,209,0
1567049791,236,0
1567053161,189,0
1567063963,241,0
1567067798,186,0
1567072840,157,0
1567078362,154,0
1567081724,249,0
1567085163,161,0
1567091082,171,0
1567094167,265,0
1567098278,168,0
1567102340,272,0
1567105459,158,309
1567112953,198,0
1567120602,259,0
1567127322,177,0
1567134040,232,0
1567135222,273,0
1567137628,159,0
1567140016,192,0
1567154202,204,0
1567157778,144,0
1567163324,197,0
1567167424,168,0
1567176029,222,0
1567182266,232,0
1567195454,254,291
1567197879,455,0
1567204336,306,0
1567208677,265,0
1567213244,286,0
1567220681,171,0
1567224768,175,0
1567228121,171,0
1567231960,259,0
1567235800,218,0
1567239376,203,0
1567243220,173,0
1567247547,165,0
1567254034,196,0
1567335376,176,230
1567414099,248,227
1567420570,287,0
1567447967,298,0
1567452027,254,0
1567459472,284,362
1567464251,212,0
1567481541,206,0
1567487321,234,0
1567489473,222,0
1567531004,192,323
1567532897,232,0
1567537365,300,0
1567579230,207,0
1567581380,172,0
1567583544,259,0
1567586929,176,0
1567590039,242,0
1567592689,274,0
1567596041,187,0
1567598440,237,270
1567601307,153,305
1567604678,276,0
1567607799,203,0
1567611648,232,0
1567624695,194,0
1567626045,217,0
1567643774,285,0
1567647160,251,0
1567651711,265,0
1567657242,334,0
1567685323,248,0
1567744334,182,298
1567745298,105,0
1567749659,221,0
1567753460,209,0
1567758263,236,0
1567762365,215,0
1567765464,220,0
1567769802,243,0
1567774123,237,0
1567778932,201,0
1567782040,216,0
1567800188,167,289
1567808894,219,0
1567831466,214,0
1567832427,180,0
1567835073,157,0
1567838681,183,0
1567841566,245,0
1567844430,238,0
1567846357,179,0
1567849450,212,0
1567851866,179,0
1567854286,236,0
1567857804,140,0
1567860763,206,0
1567864847,167,0
1567867227,219,0
1567870371,145,0
1567873007,227,0
1567876361,188,231
1567878735,205,0
1567881873,148,0
1567884760,202,0
1567888595,175,0
1567891457,229,0
1567894836,199,0
1567897453,214,0
1567901082,165,0
1567904188,238,0
1567908040,154,0
1567910662,200,0
1567914759,160,0
1567987731,187,182
1567998733,250,0
1568020618,234,0
1568047703,228,0
1568048674,160,0
1568050611,202,0
1568061138,190,288
1568063329,208,0
1568067881,166,0
1568071706,140,0
1568074605,169,0
1568077251,200,0
1568079389,206,0
1568082741,114,0
1568085636,193,0
1568088771,141,0
1568091633,205,0
1568094040,20,0
1568107232,197,0
1568111547,252,0
1568139636,158,0
1568140820,229,0
1568143244,132,0
1568145640,159,0
1568148750,161,288
1568154997,153,0
1568157878,197,0
1568161233,181,0
1568164125,224,0
1568167960,181,0
1568171056,203,0
1568172758,117,0
1568200587,203,279
1568211184,256,0
1568212344,160,0
1568215962,208,0
1568219317,150,0
1568222442,197,0
1568226049,200,0
1568229639,222,0
1568232536,134,0
1568235622,165,0
1568239726,176,0
1568242118,188,0
1568245497,173,0
1568249560,243,0
1568252678,177,0
1568256042,189,0
1568256969,136,0
1568258179,158,0
1568261541,212,0
1568262514,167,0
1568273572,214,0
1568274744,205,0
1568275977,141,0
1568277163,94,0
1568294464,216,207
1568298017,162,0
1568301427,210,0
1568304773,172,0
1568305717,197,0
1568319853,182,0
1568361734,162,0
1568362924,156,0
1568368353,176,0
1568382500,89,212
1568384438,181,0
1568387332,194,0
1568390924,217,0
1568395239,234,0
1568399332,271,0
1568402908,231,0
1568406755,242,0
1568409617,148,0
1568413947,230,0
1568428356,246,0
1568430530,206,0
1568440596,171,0
1568445413,201,0
1568450190,135,0
1568453167,207,0
1568456658,108,0
1568460760,127,0
1568463164,101,0
1568467486,120,0
1568470844,230,0
1568474686,202,264
1568477585,105,0
1568480441,166,0
1568483790,245,0
1568486415,175,0
1568490051,188,0
1568492671,176,0
1568506331,187,0
1568547611,155,0
1568561059,132,0
1568578603,219,503
1568605700,93,0
1568608831,214,0
1568609795,217,0
1568702415,130,244
1568794593,179,278
1568802756,254,0
1568803719,222,0
1568805149,474,0
1568897772,260,239
1568978653,256,309
1569071322,265,235
1569163461,275,1249
1569255617,279,139
1569348013,286,442
1569416430,218,1113
1569508095,299,2292
1569600503,440,1386
1569691456,461,3039
1569782898,410,2488
1569851810,246,2890
1569944187,312,150
1570037066,299,485
1570129247,285,1715
1570163545,282,268
1570185614,446,1135
1570190922,258,384
1570195652,249,136
1570199537,270,243
1570203816,276,407
1570207473,290,0
1570211086,267,0
1570219724,264,351
1570224755,248,0
1570227883,233,0
1570231457,289,0
1570235060,243,0
1570248741,269,716
1570253536,288,314
1570346668,216,852
1570438580,312,3071
1570531008,256,4638
1570624243,270,713
1570715792,298,3326
1570807693,292,3034
1570899392,319,6242
1570992030,297,2395
1571084433,367,5522
1571177790,276,1514
1571269459,331,955
1571360660,364,281
1571410817,305,1503
1571501784,367,328
1571593704,344,352
1571685615,322,367
1571778044,310,321
1571870651,388,365
1571963234,387,352
1572013232,366,302
1572107547,288,358
1572200913,332,451
1572294011,403,470
1572385471,264,421
1572477636,333,290
1572568568,376,363
1572661952,332,326
1572755073,310,322
1572846979,451,4942
1572875051,500,0
1572967238,438,314
1573060347,478,390
1573151792,421,307
1573210575,489,0
1573301337,478,345
1573392993,488,352
1573484170,413,353
1573576362,434,372
1573656756,497,347
1573747976,450,417
1573840097,438,306
1573931779,462,359
1574023242,443,744
1574115156,419,417
1574207055,433,370
1574298756,495,364
1574390419,497,377
1574417313,408,0
1574508753,435,410
1574536101,403,0
1574616275,389,806
1574695710,374,0
1574754968,398,334
1574782815,361,0
1574862513,359,380
1574953960,408,421
1574954892,392,0
1575023287,350,325
1575115688,412,388
1575138023,419,0
1575217969,400,406
1575297388,402,392
1575377530,388,376
1575470191,414,959
1575539535,394,0
1575557306,397,0
1575625699,379,435
1575717861,337,475
1575752173,351,424
1575844581,424,487
1575894268,364,482
1575986178,418,492
1575997457,423,0
1576089166,359,409
1576095870,363,0
1576187294,363,426
1576236992,361,0
1576329616,354,497
1576410269,369,449
1576502657,333,421
1576561712,395,452
1576653869,383,421
1576654809,382,0
1576688898,347,0
1576757548,327,410
1576780838,367,0
1576785496,382,0
1576789708,338,0
1576794787,337,0
1576854024,363,403
1576855962,356,0
1576859557,338,0
1576881868,421,0
1576893129,375,489
1576902020,343,0
