DateTime,AddedIPs,RemovedIPs
1568750170,6,4
1568772290,1,21
1568794604,5,5
1568816666,4,39
1568838517,10,6
1568860470,7,7
1568882418,10,31
1568904279,7,27
1568926362,1425,5
1568959477,23,10
1568981333,9,6
1569003378,7,9
1569025302,5,11
1569047653,5,4
1569069627,5,6
1569091473,8,4
1569113542,7,6
1569135765,3,7
1569157767,2,8
1569179801,1200,10
1569201666,7,0
1569223512,4,7
1569245563,8,5
1569267694,2,12
1569289740,3,4
1569311817,7,9
1569333895,2,4
1569355737,6,7
1569377622,3,1
1569399482,4,6
1569421459,4,5
1569443583,1,3
1569465636,3,8
1569487491,2,12
1569509594,5,9
1569531785,9,1349
1569553974,16,8
1569575850,5,14
1569597857,6,4
1569619950,6,6
1569642014,18,8
1569663859,8,4
1569685944,8,7
1569707789,6,5
1569729683,3,6
1569751713,5,2
1569773784,10,5
1569795642,2,1275
1569817694,5,11
1569839552,6,7
1569861698,17,9
1569883724,13,5
1569905565,17,12
1569927772,8,4
1569949708,1417,10
1569971561,6,11
1569993427,6,6
1570015528,3,3
1570037557,8,2
1570059614,3,164
1570081489,8,3
1570103586,19,4
1570136738,19,10
1570158743,3,12
1570180788,5,7
1570202704,2,6
1570224766,4,5
1570246606,6,24
1570268659,8,7
1570290501,6,6
1570312348,160,5
1570334266,3,3
1570356349,3,8
1570378618,4,7
1570400691,16,7
1570422746,3,8
1570444834,11,5
1570466697,7,10
1570488753,6,2
1570511123,14,13
1570533145,2,8
1570555008,8,1422
1570576857,2,4
1570598903,3,5
1570621207,1,6
1570643070,0,8
1570665185,2,4
1570709300,9,22
1570731314,2,3
1570753211,3,5
1570775063,3,4
1570796904,8,7
1570818783,1,6
1570840812,2,6
1570862663,4,9
1570884517,2,5
1570906578,3,252
1570939505,13,6
1570961900,6,7
1570983812,5,2
1571005946,3,21
1571027795,2,4
1571049853,0,4
1571071715,16,9
1571093576,10,6
1571115958,14,12
1571138241,13,4
1571160304,9,8
1571182337,5,5
1571204186,8,3
1571226029,22,1
1571247874,12,1
1571269954,8,8
1571291803,5,3
1571313918,5,4
1571336193,14,5
1571358266,2,4
1571380111,2,2
1571402202,7,4
1571424262,6,1
1571446136,6,1
1571468190,2,2
1571501109,3,6
1571523145,2,3
1571545230,0,6
1571567309,6,1
1571589382,1,3
1571611233,245,3
1571633084,1,2
1571655174,2,3
1571677018,11,4
1571698938,3,5
1571720923,7,7
1571743035,4,6
1571765077,1417,2
1571787149,3,4
1571808993,3,6
1571831097,2,21
1571853387,3,11
1571875303,6,6
1571897339,20,7
1571919615,2,10
1571941481,1,11
1571963567,3,2
1571985657,1,2
1572007984,2,4
1572030098,5,2
1572052097,4,3
1572074220,5,5
1572096281,2,1
1572118377,3,3
1572140427,5,2
1572162276,9,1
1572184357,8,4
1572217502,5,3
1572239390,5,1
1572261428,3,4
1572283271,2,5
1572305313,5,6
1572327156,3,4
1572349015,5,7
1572371066,2,1418
1572392938,10,3
1572414973,3,2
1572437104,2,4
1572459164,3,4
1572481239,1,4
1572503293,3,1
1572525152,2,4
1572547214,3,2
1572569301,7,5
1572591237,3,2
1572613344,1,2
1572635325,2,7
1572657393,7,1
1572679255,2,4
1572701573,3,3
1572723656,3,6
1572745719,4,4
1572767777,4,3
1572789810,5071,4
1572811966,584,213
1572834034,215,16
1572855935,7,5
1572878002,1,2
1572900040,3,5
1572922126,5,6
1572944209,3,2
1572966309,0,3
1572988338,0,5
1573010449,3,5
1573032798,0,6
1573054996,2,27
1573077162,2,9
1573099448,3,3
1573121331,5,3
1573143396,5,3
1573165385,5,4
1573187318,3,3
1573209164,2,3
1573231243,4,0
1573253327,3,2
1573275374,2,0
1573297487,4,3
1573319811,1,1
1573341861,2,1
1573363959,1,3
1573385814,4,3248
1573407855,3,2419
1573429714,4,6
1573451570,6,6
1573473452,5,2
1573495419,152,3
1573517563,10,4
1573539637,8,6
1573561490,9,6
1573583582,4,1
1573605632,5,6
1573627716,3,3
1573649777,1,0
1573682931,1463,8
1573705015,326,1
1573727059,2,2
1573749144,3,5
1573771227,1,2
1573793306,14,2
1573815175,1,6
1573837433,0,4
1573859327,3,6
1573881638,5,7
1573903696,5,2
1573925564,1,6
1573947617,3,3
1573969726,6,2
1573991784,2,5
1574024793,0,7
1574047004,1,1
1574068902,0,7
1574091150,1,143
1574112996,1,8
1574134838,0,10
1574156912,2,11
1574178758,2,8
1574201022,5,2
1574222908,3,4
1574244998,3,4
1574267059,2,9
1574288900,10,139
1574310751,8,256
1574332824,1,1
1574354913,8,4
1574377583,6,2
1574399544,4,32
1574421414,7,4
1574443485,5,1414
1574465548,10,6
1574487398,5,5
1574509256,7,2
1574531547,6,1
1574553869,6,3
1574575723,10,5
1574597821,6,4
1574619879,10,2
1574641944,6,1
1574663807,5,0
1574685902,3,0
1574707931,5,4
1574729778,1,4
1574751902,5,2
1574773748,3,1
1574795783,2,5
1574817632,5,4
1574839484,4,5
1574861562,0,6
1574883618,3,4
1574905486,1,6
1574927543,0,2
1574949772,0,4
1574971727,7,4
1574993776,10,6
1575015627,5,5
1575037516,3,5
1575059710,5,6
1575081643,8,10
1575103722,4,9
1575125808,5,9
1575147805,7,6
1575169972,5,4
1575192024,6,2
1575214093,2,53
1575235997,57,4
1575258021,10,4
1575279865,10,5
1575301970,5,4
1575335349,12,2
1575357633,3,5
1575379487,1,4
1575401348,1409,1
1575423647,774,3
1575445702,4860,2
1575467552,3,1
1575489893,4,0
1575511959,2,2
1575533834,1,1
1575555859,1,1
1575577725,2,4
1575599798,2,1
1575621867,2,7
1575643993,1,2
1575677124,3,6
1575699167,8,2
1575721248,7,2
1575743322,0,3
1575765383,8,0
1575787238,8,3
1575809089,9,5
1575830937,2,3
1575852969,4,1
1575886164,12,5
1575908187,4,2
1575930251,8,2
1575952093,6,2
1575973937,2,0
1575996053,1,2
1576018131,3,4
1576040206,10,4250
1576062076,5,1348
1576083996,8,0
1576105963,3,4
1576128016,0,1
1576149871,7,1
1576171964,3,2
1576193831,1,1
1576215868,3,2
1576237733,18,3
1576259783,5,2
1576281887,5,4
1576303964,10,13
1576326032,5,12
1576348100,5,0
1576369971,2,2
1576392023,4,5
1576413877,1,4
1576435941,1,6
1576457788,3,3
1576479710,0,15
1576501721,1,7
1576523572,0,1413
1576545630,2,4
1576567475,2,6
1576589564,5,1
1576611650,1,1
1576633717,4,7
1576655783,4,5
1576677721,749,9
1576699711,1661,6
1576721584,1959,3
1576743655,1258,1
1576765688,9,7
1576787546,1,5
1576809616,3,0
1576831715,2,11
1576853598,9,5
1576875675,2,3
1576897702,16,8
1576919842,22,9
